#State,ur_lon,ll_lon,ll_lat,ur_lat
USA,-64,-119,22,49
Alabama,-84.85,-88.4666666667,30.2166666667,35.0
Alaska,-130.0,173.0,54.6666666667,71.8333333333
Arizona,-109.05,-114.833333333,31.3333333333,37.0
Arkansas,-89.6833333333,-94.7,33.0,36.5
California,-114.133333333,-124.4,32.5,42.0
Colorado,-102.0,-109.0,37.0,41.0
Connecticut,-71.7833333333,-73.7333333333,40.9666666667,42.05
Delaware,-75.0333333333,-75.7833333333,38.45,39.8333333333
Florida,-79.8,-87.6333333333,24.5,31.0
Georgia,-81.0,-85.8833333333,30.5166666667,35.0
Hawaii,-154.666666667,-162.0,16.9166666667,23.0
Idaho,-111.0,-117.0,42.0,49.0
Illinois,-87.5,-91.5,36.9666666667,42.5
Indiana,-84.8166666667,-88.0666666667,37.7833333333,41.7666666667
Iowa,-89.0833333333,-96.5166666667,40.6,43.5
Kansas,-94.6333333333,-102.016666667,37.0,40.0
Kentucky,-81.9666666667,-89.5666666667,36.5,39.15
Louisiana,-89.0,-94.0,29.0,33.0
Maine,-66.95,-71.1166666667,43.0666666667,47.4666666667
Maryland,-75.0666666667,-79.55,37.8833333333,39.7166666667
Massachusetts,-69.95,-73.5,41.1666666667,42.8833333333
Michigan,-82.4333333333,-90.5166666667,41.6833333333,47.5
Minnesota,-89.5666666667,-97.2,43.5666666667,49.3833333333
Mississippi,-88.1166666667,-91.6833333333,30.2166666667,35.0
Missouri,-89.1,-95.7,36.0,40.5833333333
Montana,-104.033333333,-116.033333333,44.4333333333,49.0
Nebraska,-95.4166666667,-104.0,40.0,43.0
Nevada,-114.0,-120.0,35.0,42.0
New Hampshire,-70.6166666667,-72.6166666667,42.6666666667,45.3
New Jersey,-73.8833333333,-75.5833333333,38.9166666667,41.35
New Mexico,-103.0,-109.0,31.3333333333,37.0
New York,-71.7833333333,-79.75,40.4833333333,45.0
North Carolina,-75.5,-84.25,34.0,36.35
North Dakota,-97.0,-104.0,45.9166666667,49.0
Ohio,-80.5333333333,-84.8166666667,38.45,41.9666666667
Oklahoma,-94.4833333333,-103.0,33.5833333333,37.0
Oregon,-116.75,-124.5,42.0,46.25
Pennsylvania,-74.7166666667,-80.5166666667,39.7166666667,42.0
Rhode Island,-71.1333333333,-71.8833333333,41.3,42.0166666667
South Carolina,-78.0,-83.3333333333,32.0666666667,35.2
South Dakota,-98.4666666667,-104.05,42.4833333333,45.9333333333
Tennessee,-81.6166666667,-90.4666666667,35.0,36.6833333333
Texas,-93.5166666667,-106.633333333,25.8333333333,36.5
Utah,-109.0,-114.0,37.0,42.0
Vermont,-71.4666666667,-73.4333333333,42.7333333333,45.0
Virginia,-75.2166666667,-83.6166666667,36.5166666667,39.6166666667
Washington,-116.95,-124.8,45.5333333333,49.0
West Virginia,-77.6666666667,-82.6666666667,37.1666666667,40.6666666667
Wisconsin,-86.8166666667,-92.9,42.5,47.05
Wyoming,-104.05,-111.05,41.0,45.0
